ts_utc,round_id,lux_avg,lux_valid,env_valid,temperature_c,pressure_hpa,humidity_pct,soil_valid,soil_raw,soil_moisture_pct,fill_on,shots_planned
2026-04-12T20:31:17Z,round_1776025877365,0.6712,1,1,25.1600,1016.6844,30.8867,1,791,11.8000,1,1
2026-04-13T10:11:15Z,round_1776077475120,0.5968,1,1,24.7900,1016.7424,31.8125,1,792,11.6000,1,1
2026-04-13T20:28:56Z,round_1776112136484,0.6945,1,1,25.2100,1017.0386,30.7422,1,792,11.6000,1,1
2026-04-14T10:09:54Z,round_1776161394546,0.6214,1,1,24.8500,1017.1568,31.6045,1,792,11.6000,1,1
2026-04-14T20:26:43Z,round_1776198403047,0.7189,1,1,25.2800,1017.4265,30.6543,1,792,11.6000,1,1
2026-04-15T10:08:22Z,round_1776247702966,0.6067,1,1,24.9000,1017.4921,31.8213,1,793,11.4000,1,1
2026-04-15T20:24:31Z,round_1776284671838,0.7034,1,1,25.3400,1017.9023,30.8125,1,793,11.4000,1,1
2026-04-16T10:10:41Z,round_1776334241492,0.6352,1,1,24.9300,1018.0135,31.9521,1,793,11.4000,1,1
2026-04-16T20:21:54Z,round_1776370914563,0.7278,1,1,25.2900,1018.3167,30.9980,1,793,11.4000,0,1
2026-04-17T10:12:36Z,round_1776419556850,0.6478,1,1,24.8200,1018.4856,32.2148,1,794,11.2000,1,1
2026-04-17T20:19:38Z,round_1776457178026,0.7441,1,1,25.1700,1018.7429,31.2148,1,794,11.2000,0,1
2026-04-18T10:11:28Z,round_1776505888685,0.6631,1,1,24.7700,1018.8615,32.4629,1,794,11.2000,1,1
2026-04-18T20:17:12Z,round_1776543432995,0.7596,1,1,25.0600,1019.1848,31.4609,1,794,11.2000,0,1
2026-04-19T10:14:05Z,round_1776593645171,0.6845,1,1,24.7200,1019.3014,32.7012,1,794,11.2000,1,1
2026-04-19T20:15:09Z,round_1776629709804,0.7728,1,1,24.9800,1019.6247,31.7422,1,794,11.2000,0,1
2026-04-20T10:16:57Z,round_1776680217410,0.7116,1,1,24.9400,1019.8742,32.0488,1,794,11.2000,1,1
2026-04-20T20:13:44Z,round_1776716024271,0.8017,1,1,25.1800,1020.2842,31.4629,1,794,11.2000,1,1
2026-04-21T10:12:24Z,round_1776766344419,0.5524,1,1,25.1800,1020.7648,31.5840,1,794,11.2000,1,1
2026-04-21T14:24:36Z,round_1776781476764,0.6272,1,1,25.5500,1021.0815,31.0488,1,794,11.2000,1,1
2026-04-21T14:24:57Z,round_1776781497266,0.6245,1,1,25.5200,1020.9577,31.0693,1,794,11.2000,1,1
2026-04-21T20:10:18Z,round_1776802218746,0.8083,1,1,25.4700,1020.9421,31.2158,1,794,11.2000,1,1
